Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"Latin american Knowledge Harvester","no","N/A","https://repository.unm.edu/handle/1928/3441","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Inglés  , Español  , Portugués","General","Relaciones Internacionales  , Ciencia Política  , Medio Ambiente  , Literatura  , Historia  , Estudios de Género  , Economía   , Demografía    , Religión  , Sociología","N/A","Ciencias sociales ; Humanidades ; América Latina ; Bases de datos","LAKH es un proyecto de dos partes que: 1. Crea colecciones dentro de la UNM (University of New Mexico) de y sobre América Latina. Generalmente en texto completo. Incluye los siguientes apartados: LAII Brasil Curriculum Guías de Estudio ; LAII Brasil Serie de diapositivas
LAII Facultad y Personal Publicaciones ; LAII Investigación Paper Series y Los (LASM) colecciones de Medicina Social de América Latina . -- 2. Cosecha metadatos de colecciones sobre o de América Latina, entre ellos las colecciones anteriores. Estos luego pueden ser integrados y buscados a través de un único servicio de búsqueda: http://lakh.unm.edu/","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Latino Studies","no","N/A","https://link.springer.com/journal/41276","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Otros","N/A","Inglés","CES  , CEI","Sociología  , Relaciones Internacionales  , Ciencia Política","N/A","N/A","Explora las realidades locales, nacionales, trasnacionales, y hemisféricas que influencian la presencia Latina en los Estados Unidos. Latino Studies presenta la agenda de investigaciones internacionales que construye puentes entre los mundos académicos y no académicos, y promover aprendizajes y colaboraciones conjuntas entre todos los grupos  latinos","N/A","2018-11-09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Latinobarómetro","no","N/A","http://www.latinobarometro.org/latContents.jsp?CMSID=Datos","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","2014","Español","CEDUA  , CES","Demografía    , Ciencia Política  , Economía   , Sociología","N/A","América Latina ; Democracia ; Política y gobierno ; Problemas sociales  ; Economía ; Siglo XXI ; Encuestas de la opinión pública","|Latinobarómetro es un estudio de opinión pública que aplica anualmente alrededor de 20.000 entrevistas en 18 países de América Latina representando a más de 600 millones de habitantes... investiga el desarrollo de la democracia, la economía y la sociedad en su conjunto, usando indicadores de opinión pública que miden actitudes, valores y comportamientos|-- Los archivos de datos están disponibles en los siguientes formatos: Fichero SPSS - SAV ; Fichero Stata/SE - DTA ; Fichero SAS - V11 ; Fichero R Workspace","N/A","2014-10-27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Latinobarómetro 1995-2013","no","N/A","http://www.latinobarometro.org/latContents.jsp?CMSID=Datos","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Español","PIEM  , CES  , CEI  , CEE  , CEDUA","Sociología  , Relaciones Internacionales  , Medio Ambiente  , Estudios Urbanos   , Economía   , Demografía    , Ciencia Política  , Administración Pública","N/A","Entrevistas ; América Latina","|Latinobarómetro es un estudio de opinión pública que aplica anualmente alrededor de 20.000 entrevistas en 18 países de América Latina representando a más de 600 millones de habitantes.
Corporación Latinobarómetro es una ONG sin fines de lucro con sede en Santiago de Chile, única responsable de la producción y publicación de los datos|.","N/A","2014-08-20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Le Centre européen de sociologie et de science politique de la Sorbonne","no","N/A","http://cse.ehess.fr/","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Francés","CES","Sociología","N/A","Teoría sociológica","El Centro Europeo de Sociología y Ciencia Política de la Sorbona (París-CESSP), UMR 8209 de la Universidad de París-Sorbona, CNRS y la EHESS nació de la fusión de Centro Europeo de Sociología (CSE ) y el Centro de Investigación Política de la Sorbona (CRPS)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Le Monde","no","N/A","http://www.lemonde.fr/","N/A","Periódico","Abierto","N/A","Otros","N/A","Francés","BIBLIOTECA  , CEI  , CEH  , CEE  , CEDUA  , CEAA  , CELL  , CES  , General  , PIEM","Historia  , Administración Pública  , General (todos los centros)  , Filosofía  , Estudios Urbanos   , Estudios de Género  , Economía   , Demografía    , Ciencia Política  , Bibliotecología  , Artes  , Lenguaje y Lenguas (Estudio y enseñanza)  , Lingüística  , Literatura  , Medio Ambiente  , Noticias  , Relaciones Internacionales  , Religión  , Sociología  , Traducción","N/A","Periódicos","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lebende Sprachen","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=718769","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Traducción ; Lenguas modernas","Disponible en formato impreso: 1960-2011 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lecturas de economía","no","N/A","http://aprendeenlinea.udea.edu.co/revistas/index.php/lecturasdeeconomia/index","N/A","Publicación periódica","Abierto","N/A","Otros","N/A","Español","CEE","Economía","N/A","Economía ; América Latina ; Finanzas","Revista editada por la Universidad de Antioquía, Colombia con artículos sobre economía nacional y Latinoamericana, investigando sobre los temas que afectan la región.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lectures of the Industrial Revolution in England","no","N/A","http://socserv2.socsci.mcmaster.ca/~econ/ugcm/3ll3/toynbee/indrev","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés","CEE  , CEH","Economía   , Historia","N/A","N/A","Texto completo en formato html de la primera publicación de la obra de |Industrial Revolution in England| en 1884.","N/A","2014-11-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Leaks","no","N/A","http://www.legalleaks.info/index.php","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEI","Administración Pública  , Ciencia Política  , Relaciones Internacionales","N/A","Información pública gubernamental - Europa ; Libertad de información","|The Legal Leaks project helps journalists access information using access to information (freedom of information) laws. We provide toolkits adapted to different country’s legal environments, specialised training, and help desk support.|","N/A","2015-05-08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legislación Mexicana","no","N/A","http://www.biblioweb.tic.unam.mx/dublanylozano/","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Legislación  ; México ; Bases de datos","|La colección completa contiene 16,890 disposiciones numeradas, ordenadas cronológicamente, cuya cobertura va de 1687 a 1902. Dedica tres de sus volúmenes a Códigos, Ordenanzas y Reglamentos del Ejército y Armada de la República Mexicana|","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Les Lettres Francaises","no","N/A","http://www.the-tls.co.uk/tls/","N/A","N/A","Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Literatura Francesa ; Traducción ; Reseñas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Letras mexicanas","no","N/A","http://www.letrasmexicanas.mx/","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español","CELL","Literatura","N/A","Literatura mexicana ; Autores mexicanos","Dispone de tres apartados principales dedicados a: las instituciones que participan en el proyecto, las bibliotecas de autor de Amado Nervo, Bartolomé de las Casas, José Joaquín Fernández de Lizardi, Sor Juana Inés de la Cruz, Margo Glanz, Juan Villoro, Ramón Lopez Velarde, Rodolfo Usigli, y un apartado especial de Juan Palafox y Mendoza.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Léxico hispanoamericano","si","N/A","https://textred.spanport.wisc.edu/lexico_hispanoamericano/index.html","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español","CELL","Lingüística","N/A","Corpus ;  Español -- Provincialismos -- Hispanoamérica -- Historia -- Siglo XX ;","|la presente edición incorpora un gran número de cambios y adaptaciones de las publicaciones de microfichas, los cuales eran necesarios a fin de que el corpus sea de fácil acceso y se pueda buscar|.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lexicon of Linguistics","no","N/A","http://www2.let.uu.nl/UiL-OTS/Lexicon/","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Inglés","CELL","Lingüística","N/A","Lexicografía","Se puede buscar por tema y en orden alfabético.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lexis","ambos","N/A","http://revistas.pucp.edu.pe/index.php/lexis","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español","CELL","Lingüística  , Literatura","N/A","Revistas ; Lingüística ; Crítica literaria","|Lexis es una de las principales revistas de lingüística y literatura que se publican en Hispanoamérica. La revista acoge trabajos originales en los diversos campos de la lingüística, de la teoría y crítica literarias, de la hispanística y los estudios amerindios|.
Disponible en formato impreso: 1977-2014.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Library Journal","no","N/A","http://lj.libraryjournal.com/","N/A","N/A","Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Bibliotecología","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Library literature and information science full text","no","N/A","http://eds.a.ebscohost.com/ehost/publication?sid=0904dfb8-8866-4b2d-beaf-ba9f144b8f82%40sessionmgr4004&vid=2&hid=4108","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Ebscohost","N/A","Inglés","BIBLIOTECA","Bibliotecología","N/A","Bibliotecología ; Bases de datos bibliográficas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Letras verdes: Revista Latinoamericana de Estudios Socioambientales","no","N/A","http://revistas.flacsoandes.edu.ec/letrasverdes","N/A","Publicación periódica","Abierto","N/A","Otros","2016-12","Español","CEDUA","Medio Ambiente","N/A","Medio ambiente ; Ecología humana ; Impacto ambiental ; Gestión ambiental ; Conservación de la naturaleza","Revista Latinoamericana de Estudios Socioambientales, es una publicación electrónica semestral de la Maestría en Estudios Socioambientales, adscrita al Departamento de Desarrollo, Ambiente y Territorio de FLACSO Ecuador. La revista está dirigida a investigadores, estudiantes y organizaciones que tengan afinidad con los temas socioambientales a nivel local, regional y global. Su primer número circuló en marzo de 2008 con el objetivo de aportar al debate sobre temas socioambientales a través de la reflexión de estudiantes, académicos y otros actores de todo el mundo, difundir las iniciativas de investigación académica, y servir para la socialización y comunicación de temas de actualidad socioambiental.","N/A","2016-12-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Library of Congress","no","N/A","http://www.loc.gov/index.html","N/A","Base de Datos  , Libro electrónico  , Sitio Web  , Video digital","Abierto","N/A","Library of Congress","N/A","Inglés","BIBLIOTECA  , CEAA  , CEDUA  , CEE  , CEH  , CEI  , CELL  , CES  , General  , PIEM","Administración Pública  , Artes  , Bibliotecología  , Ciencia Política  , Demografía    , Economía   , Estudios de Género  , Estudios Urbanos   , Filosofía  , General (todos los centros)  , Historia  , Lenguaje y Lenguas (Estudio y enseñanza)  , Lingüística  , Literatura  , Medio Ambiente  , Relaciones Internacionales  , Religión  , Sociología  , Traducción","N/A","Bibliotecas nacionales ; Catálogos, Bibliotecología ; Bases de datos bibliográficas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Library of economics and liberty","no","N/A","http://www.econlib.org/","N/A","Sitio Web  , Video digital","Abierto","N/A","Otros","2014-00-00","Inglés","CEE","Economía","N/A","Economía ; Bases de datos ; Bases de datos bibliográficas","Se dedica a promover el estudio de la economía, los mercados y la libertad. Integra recursos para los estudiantes, profesores, investigadores y aficionados del pensamiento económico. Entre los que se localizan artículos, libros, blog, podcast, guías, The Concise Encyclopedia of Economics, entre otros.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Library, Information Science & Technology Abstracts","si","N/A","http://eds.a.ebscohost.com/ehost/publication?sid=d72cbb69-ec1d-4a2d-8768-3de5411ff6fa%40sessionmgr4005&vid=2&hid=4108","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Ebscohost","N/A","Inglés","BIBLIOTECA","Bibliotecología","N/A","Bibliotecología ; Bases de datos bibliográficas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Libros de Caballería","no","N/A","http://bdh.bne.es/bnesearch/Search.do?destacadas1=Libros+de+caballer%C3%ADa&home=true","N/A","Sitio Web","Abierto","N/A","Biblioteca Nacional de España","N/A","Español","CELL","Literatura","N/A","Libros de caballería ; España","Forma parte de la colección Biblioteca Digital Hispánica. Se ofrecen 52 títulos de 1501 a 1838. Algunos títulos son: Amadis de Gaula : los quatro libros de Amadis d' gaula nuevamente impressos [et] hystoriados, Espeio de principes y cavalleros : tercera, y quarta parte, entre otros.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Libros. Centro Boliviano de Estudios Multidisciplinarios","no","N/A","http://www.cebem.org/archivo_pub.php?seccion=64","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Español","CEDUA  , CEE  , CEI  , CES","Administración Pública  , Ciencia Política  , Demografía    , Economía   , Estudios Urbanos   , Medio Ambiente  , Relaciones Internacionales  , Sociología","N/A","Centro Boliviano de Estudios Multidisciplinarios ; Libros electrónicos","Ofrece acceso al texto completo de los libros publicados por el Centro Boliviano de Estudios Multidisciplinarios. Algunos de los temas se relacionan con administración pública, economía gestión de recursos, pobreza y pueblos indígenas, tanto de Bolivia como de otras áreas de la región andina. Se puede acceder además a otros productos y servicios ofrecidos por la institución.","N/A","2014-10-30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Librunam","no","N/A","http://librunam.dgbiblio.unam.mx:8991/F/?func=find-b-0&local_base=mx001","N/A","Base de Datos","Abierto","N/A","Universidad Nacional Autónoma de México","N/A","Español","BIBLIOTECA  , CEAA  , CEDUA  , CEE  , CEH  , CEI  , CELL  , CES  , General  , PIEM","Administración Pública  , Artes  , Bibliotecología  , Ciencia Política  , Demografía    , Economía   , Estudios de Género  , Estudios Urbanos   , Filosofía  , General (todos los centros)  , Historia  , Lenguaje y Lenguas (Estudio y enseñanza)  , Lingüística  , Literatura  , Medio Ambiente  , Relaciones Internacionales  , Religión  , Sociología  , Traducción","N/A","N/A","Bibliotecas ; Bases de datos ; catálogos en  línea","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"LibWeb: library servers via WWW","no","N/A","http://www.lib-web.org/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEDUA  , CEAA  , BIBLIOTECA  , CEE  , CEH  , CEI  , CELL  , CES  , PIEM","Bibliotecología","N/A","Bibliotecas","|LibWeb is a directory of worldwide libraries, library catalogs and library servers.|","N/A","2015-10-07","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Libya","no","N/A","http://whc.unesco.org/en/statesparties/ly","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEAA","Artes  , Historia","N/A","Áreas de Patrimonio mundial ; Libia","Página que reúne 5 sitos de Libia (Archaeological Site of Cyrene (1982), Archaeological Site of Leptis Magna (1982), Archaeological Site of Sabratha (1982), Old Town of Ghadamès (1986), Rock-Art Sites of Tadrart Acacus (1985)), considerados Patrimonio Mundial por la UNESCO. Contiene información histórica sobre los sitios, vínculos a mapas, documentos, videos e indicadores (|Con base a la frecuencia a la que el Comité del Patrimonio Mundial ha deliberado sobre esta propiedad en los últimos 15 años |). La página se puede consultar en varios idiomas además del inglés: francés, árabe y chino, entre otros. Se actualiza periódicamente.","N/A","2015-11-09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lienzo","no","N/A","http://revistas.ulima.edu.pe/index.php/lienzo/issue/view/8","N/A","Publicación periódica","Abierto","N/A","Otros","N/A","Español","CELL","Literatura","N/A","Poesía ; Artes plásticas ; Narrativa escrita","|Desde su nacimiento, en 1980, Lienzo irradió una dimensión multicultural que conjugaba los estudios académicos con la creación poética, las artes plásticas con el ministerio narrativo|.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lincoln Institute of Land Policy: Publications & Multimedia","no","N/A","https://www.lincolninst.edu/pubs/","N/A","Sitio Web","Abierto","N/A","Otros","2015","Inglés  , Español","CEDUA","Medio Ambiente  , Estudios Urbanos","N/A","Uso urbano del suelo ; Urbanismo ; Ciudades y pueblos ; Desarrollo regional ; Desarrollo rural ; Desarrollo urbano sostenible ; Medio ambiente","El Instituto Lincoln de Política Territorial difunde la investigación de sus profesores, becarios y asociados a través de libros, informes de discusión política, documentos de trabajo, ponencias y otros medios de comunicación. Incluye trabajos publicados desde principios de 1970.","N/A","2015-11-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"LINGMEX. Bibliografía Lingüística de México desde 1970","no","si","http://lingmex.colmex.mx/","N/A","Base de Datos","Abierto","N/A","El Colegio de México","N/A","Español","CELL","Lingüística","N/A","Bases de datos ; Lingüística","Base de datos que compila la bibliografía que proviene de la investigación lingüística que se realiza en México. Esta base “trata de aportar otros datos importantes que reflejan la complejidad y diversidad del quehacer lingüístico en México|. Contiene información sobre artículos, libros, capítulos de libros, tesis, revistas nacionales y extranjeras, y permite acceder a otros sitios relacionados con la temática. Además, posibilita realizar búsquedas y consultar por índices. Bajo la coordinación de Rebeca Barriga Villanueva.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lingua","ambos","N/A","http://www.sciencedirect.com/science/journal/00243841","N/A","N/A","Sólo comunidad Colmex","N/A","Elsevier","N/A","N/A","N/A","N/A","N/A","Lenguaje y lenguas ; Bases de datos","Disponible en formato impreso: 1952-2010 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Linguistic Inquiry","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=102192","N/A","N/A","Sólo comunidad Colmex","N/A","MIT Press","N/A","N/A","N/A","N/A","N/A","Lingüística ; Revistas","Disponible en formato impreso 1970-2011 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Linguistics an Interdisciplinary Journal of the Language Sciences","ambos","N/A","http://ejournals.ebsco.com/journal2.asp?journalid=103279","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Lingüística ; Revistas","Disponible en formato impreso 1963-2011","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Linguistics and Language Behaviour Abstracts","no","N/A","http://search.proquest.com/llba/socialsciences/fromDatabasesLayer?accountid=26837","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","N/A","Inglés","CELL","Lingüística","N/A","Lingüística ; Indices ; Bases de datos","Provee de resuménes e índices de cerca de 1,500 revistas; además de reseñas de libros, capítulos de libros y tesis. Entre los aspectos que cubre se encuentran: linguistica aplicada, linguistica descriptiva, lexicografía, comunidación no verbal, fonética, fonología, morfología, sintaxis y semántica, entre otras. Incluye referencias de 1973 a la fecha.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Linguistics and Philosophy","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=102955","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Lingüística ; Bases de datos","Disponible en formato impreso 1977-2011 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"LISA  library and information science abstracts","no","N/A","http://search.proquest.com/lisa/socialsciences/fromDatabasesLayer?accountid=26837","N/A","Base de Datos","Sólo comunidad Colmex","N/A","No Aplica","N/A","Inglés","BIBLIOTECA","Bibliotecología","N/A","Bibliotecología ; Bases de datos bibliográficas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Literary & Linguistic Computing Journal of the Association for Literary and Linguistic Computing","ambos","N/A","http://llc.oxfordjournals.org/","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Lingüística ; Bases de datos","Disponible en formato impreso: 1987-2014","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Literatura & Traducción","si","N/A","http://portal.unesco.org/culture/en/ev.php-URL_ID=1523&URL_DO=DO_TOPIC&URL_SECTION=201.html","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Inglés  , Español","CELL","Literatura","N/A","Traducción ; Recursos de información electrónicos","Dispone de información para traductores. Ofrece enlaces a revistas, asociaciones, traducción literaria, sitios web, recursos lingüísticos y terminológicos.","N/A","2014-10-22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Literatura infantil y juvenil: Guía de recursos bibliográficos","no","N/A","http://www.bne.es/es/Micrositios/Guias/Literatura_Infantil/index.html","N/A","Sitio Web","Abierto","N/A","Biblioteca Nacional de España","N/A","Español","CELL","Literatura","N/A","Literatura infantil","|Recoge los textos impresos más recientes, aunque sin pasar por alto algunos anteriores a la década de los 90, que resultan imprescindibles, englobando los recursos sobre literatura infantil de creación y los estudios, en el sentido amplio. Ofrece los siguientes apartados: bibliografía, obras destacadas, autores e ilustradores, premios y certámenes, entre otros.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Litterature","ambos","N/A","http://ejournals.ebsco.com/Journal2.asp?JournalID=112966","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Literatura ; Revistas","Disponible en formato impreso 1971- (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Los carteles de la guerra civil española","no","N/A","http://pares.mcu.es/cartelesGC/","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Español","CEH","Historia","N/A","España ; Guerra Civil, 1936-1939 ; Historia ; Siglo XX ; Carteles","Ofrece una de las más completas colecciones de carteles de la Guerra Civil Española existentes en el mundo, “especialmente rica y completa respecto a los producidos por la República, … ampliada posteriormente con la incorporación de otros carteles significativos editados en su día por el bando nacional”. Consta, hasta el momento de 2.280 carteles disponibles en la base de datos.","N/A","2015-12-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Los libros de Cortázar","no","N/A","http://cvc.cervantes.es/literatura/libros_cortazar/","N/A","Sitio Web","Abierto","N/A","Centro Virtual Cervantes","N/A","Español","CELL","Literatura","N/A","Cortázar, Julio 1914-1984 - Biografía","|Es una exposición reunida y comentada por Jesús Marchalo que recoge una selección de los libros de Cortázar|. Incluye los siguientes apartados: Introducción, libros firmados, libros dedicados, libros con objetos, formatos curiosos, libros anotados.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Making of the Modern World","no","N/A","http://infotrac.galegroup.com/itweb/colmex?db=MOME","N/A","Periódico  , Base de Datos","Sólo comunidad Colmex","N/A","Otros","N/A","Inglés","CEI  , CEH  , CEE","Relaciones Internacionales  , Historia  , Economía","N/A","Historia ; Economía ; Bases de datos","Incluye más de 2900 libros, folletos y diarios en  texto completo sobre el desarrollo del mundo occidental moderno. Se puede buscar en el texto completo y ver las imágenes de las páginas de los documentos.","N/A","2014-08-21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Malaysia","no","N/A","http://whc.unesco.org/en/statesparties/my","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Inglés","CEAA","Historia  , Artes","N/A","Áreas de Patrimonio mundial ; Malasia","Ofrece dos sitios culturales de Malasia: Archaeological Heritage of the Lenggong Valley (2012) y Melaka and George Town, Historic Cities of the Straits of Malacca (2008); y dos naturales: Gunung Mulu National Park (2000) y Kinabalu Park (2000). Considerados Patrimonio Mundial por la UNESCO. Contiene información histórica sobre el sitio, vínculos a mapas, documentos, videos e indicadores. La página se puede consultar en varios idiomas además del inglés: francés, árabe y chino, entre otros. Se actualiza periódicamente.","N/A","2015-11-10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Manhattan Institute for Policy Research","no","N/A","http://www.manhattan-institute.org/","N/A","N/A","Abierto","N/A","Otros","2014-00-00","N/A","N/A","N/A","N/A","Política mundial ; Economía ; Globalización ; Siglo XXI","Sitio especializado en desarrollo económico que abarca diferentes rubros en su campo como son, el energético, educación y economía, salud, emprendedurismo entre otros que permiten observar el desarrollo financiero de Estados Unidos con relación a aspectos en relaciones internacionales y economía.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Map and Imagery Collections","no","N/A","http://ufdc.ufl.edu/maps","N/A","Sitio Web","Parcialmente Abierto","N/A","Otros","N/A","Inglés","CEDUA  , CEAA  , CEE  , CEH  , CEI","Demografía    , Economía   , Historia  , Relaciones Internacionales","N/A","Mapas antiguos","Excelente recursos que reúne más de 500 mil mapas antiguos. Abarca mapas de todos los continentes: Asia, África,  América Latina, Europa. Permite la consulta del mapa y su impresión aunque para recuperar el archivo se requiere clave. 
Es un recurso de la Universidad de Florida pero también incluye contribuciones de otras instittuciones.","N/A","2014-10-31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Map History / History of Cartography","no","N/A","http://www.maphistory.info/","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Inglés","CEH","Historia","N/A","Mapas ; Mapotecas","Ofrece enlaces a recursos y colecciones especializados en mapas, entre ellos: catálogos, exposiciones, investigadores y sociedades. Ofrece un buscador general además de un índice temático alfabético.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mapoteca del Fondo Familia Ponciano Aguilar","no","N/A","http://www.archivo.ugto.mx/AHUGPFPA/INDEX-HOME.php","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Español","CEH","Historia","N/A","Mapas ; Mapotecas","Colección de más de 700 planos y mapas, principalmente mexicanos, elaborados o coleccionados por el Ingeniero Ponciano Aguilar.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mapping the World: Maps and Travel Literature","no","N/A","http://gdc.galegroup.com/gdc/ncco?p=NCCO&u=colmex","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","N/A","Inglés","CEH","Historia","N/A","Mapas ; Atlas ; Viajes y travesías ; Bases de datos","Selección de mapas y atlas del siglo XIX procedentes de las colecciones de la Biblioteca Británica, la American Antiquarian Society y la Universidad de Alberta, principalmente. Incluye cartografía de todo el mundo y se complementa con el acceso a varios libros de viaje. Ofrece una opción de búsqueda por área geográfica y otra cronológica.","N/A","2017-02-02","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marco jurídico nacional e internacional relativo a las mujeres y el medio ambiente [disco compacto]","si","N/A","N/A","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Español","CES","Estudios de Género","N/A","Derechos de la mujer ; Medio ambiente","México, D.F. Secretaría de Relaciones Exteriores, Secretaría del Medio Ambiente Ambiente y Recursos Naturales: Instituto Nacional de las Mujeres, [2007] 1 disco compacto; 4 3/4 plg.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
