"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Library of economics and liberty","Abierto","Parcial","Videos  , Biblioteca Digital  , Revistas  , Guías","Más información"
"Libros. Centro Boliviano de Estudios Multidisciplinarios","Abierto","Parcial","Biblioteca Digital","Más información"
"Librunam","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"Making of the Modern World","Cerrado","Completo","Recursos Archivísticos  , Periódicos  , Libros ...","Más información"
"Manhattan Institute for Policy Research","Abierto","Parcial","Documentos de Trabajo  , Revistas","Más información"
"Map and Imagery Collections","Cerrado","Parcial","Mapas  , Imágenes","Más información"
"Measuring worth","Abierto","No Aplica","Estadísticas","Más información"
"Mediateca Digital COLMEX","Abierto","No Aplica","Videos  , Audio","Más información"
"Mediatico.com","Abierto","Parcial","Periódicos","Más información"
"Mercosur","Abierto","Completo","Revistas  , Documentos de Trabajo  , Estadísticas","Más información"
"Metabase  Bibliografía en red","Abierto","Referencia","Revistas","RE/016.9728 Más información"
"México y la Cuenca del Pacífico","Abierto","Completo","Artículos de Revistas","Más información"
"Microsoft Academic Search","Abierto","Parcial","Revistas  , Falta determinar  , Artículos de Rev...","Más información"
"Milenio","Abierto","Parcial","Periódicos","Más información"
"MIT OpenCourseWare","Abierto","No Aplica","Falta determinar","Más información"
"Museum of American Finance","Abierto","Completo","Artículos de Revistas  , Reportes Técnicos  , V...","Más información"
"National Academy of Sciences (Estados Unidos). Division of Behavioral and Social Sciences and Education","Abierto","Parcial","Documentos de Trabajo","Más información"
"National Academy of Sciences.  Division of Behavioral and Social Sciences and Education. Economy and the Workforce","Abierto","Parcial","Libros Electrónicos  , Documentos de Trabajo","Más información"
"National Bureau of Economic Research (NBER)","Abierto","Parcial","Documentos de Trabajo","Más información"
"National Science Foundation","Abierto","Parcial","Reportes Técnicos  , Financiamiento & Becas  , E...","Más información"
"NBER International Seminar on Macroeconomics","Cerrado","Parcial","Revistas","339 N3371/2011 Más información"
"NBER macroeconomics annual","Cerrado","Referencia","Revistas","330.105/N338 Más información"
"New York Times, The","Abierto","Parcial","Periódicos","Más información"
"Nineteenth Century Collections Online","Cerrado","Completo","Periódicos  , Imágenes  , Fotografías  , Artí...","Más información"
"NYPL Digital Gallery","Cerrado","Parcial","Videos  , Imágenes  , Fotografías","Más información"
"OAIster","Cerrado","Completo","Biblioteca Digital","Más información"
"OAPEN","Abierto","Completo","Libros Electrónicos  , Biblioteca Digital","Más información"
"OASIS.Br","Abierto","Parcial","Revistas  , Artículos de Revistas","RE/016.05 Más información"
"Observatorio Económico Latinoamericano","Abierto","Completo","Estadísticas","Más información"
"OCLC FirstSearch","Cerrado","Parcial","Revistas","Más información"
"OECD economic outlook","Cerrado","Completo","Estadísticas","338.9/Oe28 Más información"
"OECD economic surveys","Cerrado","Completo","Estadísticas","Más información"
"OECD economics glossary: english-french","Cerrado","Completo","Libros Electrónicos","Más información"
"OECD environmental outlook to 2050: the consequences of inaction","Cerrado","Completo","Reportes Técnicos  , Estadísticas  , Libros Ele...","Más información"
"OECD factbook","Cerrado","Completo","Libros Electrónicos","Más información"
"OECD Glossary of statistical terms","Cerrado","Completo","Estadísticas  , Libros Electrónicos","Más información"
"OECD iLibrary","Cerrado","Completo","Libros Electrónicos  , Revistas  , Estadísticas","Más información"
"OECD iLibrary. Statistics","Cerrado","Completo","Estadísticas","Más información"
"OECD iLibrary: Economics","Cerrado","Completo","Libros Electrónicos  , Estadísticas  , Publicac...","Más información"
"OECD Science, Technology and Industry Outlook 2012","Cerrado","Completo","Estadísticas","Más información"
"OECD Working Paper Series","Cerrado","Completo","Estadísticas  , Documentos de Trabajo","Más información"
"OECD-FAO Agricultural Outlook 2012","Cerrado","Completo","Libros Electrónicos","Más información"
"Oeconomics of Knowledge","Abierto","Completo","Artículos de Revistas  , Revistas","Más información"
"OFFSTATS","Abierto","Parcial","Estadísticas","Más información"
"Open Knowledge Repository","Abierto","Completo","Revistas  , Publicaciones Oficiales  , Libros Ele...","Más información"
"Oxford Bibliographies","Cerrado","Referencia","Bibliografía","RE/025.063016  Más información"
"Oxford economic papers","Cerrado","Parcial","Revistas","330.5/Ox98 Más información"
"Oxford economics","Cerrado","Completo","Reportes Técnicos  , Estadísticas","Más información"
"Oxford handbook of economic forecasting, The","Abierto","No Aplica","Libros Electrónicos","338.5442 / Ox984 Más información"
"Oxford Handbooks Online","Cerrado","Parcial","Libros Electrónicos","Más información"
"Oxford handbooks online : business and management","Cerrado","Completo","Libros Electrónicos","Más información"
"Oxford handbooks online: economics and finance","Cerrado","Completo","Libros Electrónicos","Más información"
"Oxford Journals","Cerrado","Completo","Revistas","Más información"
"PAIS international","Cerrado","Referencia","Revistas  , Artículos de Revistas","Más información"
"Paradigmas : revista de investigación","Abierto","Completo","Revistas","Más información"
"Parametría","Abierto","Completo","Centro de Investigación  , Documentos de Trabajo...","Más información"
"PBS Learning Media : economy","Abierto","No Aplica","Videos  , Documentos de Trabajo  , Audio","Más información"
"Pecunia : revista de la Facultad de Ciencias Económicas y Empresariales","Abierto","Completo","Artículos de Revistas","Más información"
"Periódica  Índice de revistas latinoamericanas en ciencias","Abierto","Referencia","Revistas","IND/016.5/P445 Más información"
"Perspectivas : revista de análisis de economía, comercio y negocios internacionales","Abierto","Completo","Artículos de Revistas","Más información"
"Perspectives on global development 2012. Social Cohesion in a shifting world","Abierto","Completo","Reportes Técnicos  , Publicaciones Oficiales  , ...","Más información"
"Political constraint index, The","Abierto","Parcial","Estadísticas","Más información"
"Portal de economía global","Abierto","Parcial","Reportes Técnicos  , Publicaciones Oficiales  , ...","Más información"
"Portal de economía solidaria","Abierto","Parcial","Libros Electrónicos  , Periódicos","Más información"
"Problemas del desarrollo : revista latinoamericana de economía","Abierto","Completo","Artículos de Revistas","Más información"
"Problemas del Desarrollo: Revista latinoamericana de economía","Abierto","Completo","Artículos de Revistas","Más información"
"ProQuest Dissertations and Theses","Cerrado","Parcial","Biblioteca Digital","Más información"
"Public financial management IMF","Abierto","Completo","Reseñas  , Reportes Técnicos","Más información"
"Quarterly journal of economics","Cerrado","Parcial","Revistas","330.5/Q1 Más información"
"Rand journal of economics","Cerrado","Parcial","Revistas","380.05/B433 Más información"
"Red de bibliotecas virtuales de ciencias sociales de América Latina y el Caribe (CLACSO)","Abierto","Completo","Biblioteca Digital","Más información"
"Redalyc  Red de revistas científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Reforma","Abierto","Parcial","Periódicos","Más información"
"Regional Business News","Cerrado","Completo","Revistas  , Artículos de Revistas","Más información"
